old_id,old_mall_code,old_name,master_id,master_mall_code,master_name,merge_reason
18134,MALL_358A0C3A,北国奥特莱斯,18133,MALL_A0E887F7,北国商城,same_name_norm_same_district
17077,MALL_95D53D8D,北方购物广场,17076,MALL_628B3AF2,北方购物广场,same_name_norm_same_district
17660,MALL_8A2D396C,北雁商城,17659,MALL_E8297705,北雁商城,same_name_norm_same_district
22305,MALL_AD551D95,千客隆购物广场,22304,MALL_754DE3AC,千客隆购物中心,same_name_norm_same_district
17823,MALL_7A834B8F,华北商厦,17822,MALL_480478E5,华北商厦,same_name_norm_same_district
23300,MALL_8F0DE9F5,华商平价广场,23299,MALL_F909BF1E,华商平价广场,same_name_norm_same_district
14742,MALL_C3893EDB,华地百货,14741,MALL_45BC1AAA,华地百货,same_name_norm_same_district
26534,MALL_139A1030,华尔百货,26533,MALL_0E2CF044,华尔百货,same_name_norm_same_district
17196,MALL_1112BA27,华岩商城,17195,MALL_4839E2E7,华岩商业广场,same_name_norm_same_district
9626,MALL_AF1F22C5,华美超级商场,9625,MALL_DE31A867,华美超级商场,same_name_norm_same_district
5205,MALL_14379DDD,华联购物中心,5204,MALL_20413FD7,华联购物中心,same_name_norm_same_district
21403,MALL_08BE72AD,华联商厦,21402,MALL_8DE383D0,华联商厦,same_name_norm_same_district
1667,MALL_DB59BF83,华融生活广场,1666,MALL_94C01B79,华融生活广场,same_name_norm_same_district
2967,MALL_BA3D99C9,南崴子百货大楼,2966,MALL_CD402D92,南崴子百货大楼,same_name_norm_same_district
28822,MALL_0CB3B645,友谊商城,28821,MALL_60810F0C,友谊商城,same_name_norm_same_district
25385,MALL_F5CDC7BC,友阿百货,25384,MALL_40D7503F,友阿奥特莱斯,same_name_norm_same_district
3218,MALL_C4BCFD6D,双合盛购物中心,3217,MALL_9093729A,双合盛购物中心,same_name_norm_same_district
3301,MALL_541A37FD,双惠联购购物中心,3300,MALL_CD8307C7,双惠联购购物中心,same_name_norm_same_district
30887,MALL_736D1219,同济商场,30886,MALL_AD197766,同济商场,same_name_norm_same_district
23539,MALL_D09AD1EC,名流城市广场,23538,MALL_ED385C83,名流城市商业广场,same_name_norm_same_district
14181,MALL_34D40F1E,吾悦广场,14180,MALL_405494C5,吾悦广场,same_name_norm_same_district
6454,MALL_55A97936,吾悦广场,6453,MALL_372D836B,吾悦广场,same_name_norm_same_district
7405,MALL_157667BF,吾悦广场,7404,MALL_BACD8DC0,吾悦广场,same_name_norm_same_district
18955,MALL_6476FF58,吾悦广场,18954,MALL_C52B823D,吾悦广场,same_name_norm_same_district
18956,MALL_37559B13,吾悦广场,18954,MALL_C52B823D,吾悦广场,same_name_norm_same_district
19322,MALL_F2DF2986,和美购物中心,19321,MALL_36A77C09,和美购物中心,same_name_norm_same_district
6101,MALL_6E6E1EB3,商之都,6100,MALL_86F02EF8,商之都,same_name_norm_same_district
2795,MALL_B1B799EB,商贸中心,2794,MALL_4D81D2ED,商贸中心,same_name_norm_same_district
